"Function","Random_effect","Actinobacteriota_slope","Bacteroidota_slope","Firmicutes_slope","Proteobacteria_slope","Actinobacteriota_pred_70","Actinobacteriota_pred_80","Actinobacteriota_pred_90","Actinobacteriota_pred_100","Bacteroidota_pred_70","Bacteroidota_pred_80","Bacteroidota_pred_90","Bacteroidota_pred_100","Firmicutes_pred_70","Firmicutes_pred_80","Firmicutes_pred_90","Firmicutes_pred_100","Proteobacteria_pred_70","Proteobacteria_pred_80","Proteobacteria_pred_90","Proteobacteria_pred_100","R2_m","R2_c","pvalue","pvalue_int"
"M00082","Random_slope",0.0652472321589606,0.0319612893140819,0.0228422828120351,0.0895895586246152,0.0987052406731994,0.173758315114639,0.287665416374669,0.436770980449648,0.502102835215452,0.5812785770973,0.656477808490512,0.724571039200866,0.523549018678284,0.579979355437941,0.634393422814402,0.685579736525283,0.779866268688851,0.89667209934732,0.955069977800495,0.981156685455769,0.122992103085684,0.211439688303483,0.0316814598705972,0.365147179463963
"M00083","No_random",-0.00734540844277442,0.161667923444118,0.0351892833403803,4.22620011902852e-11,0.607054520743317,0.589401956452777,0.571516118524055,0.553441459565925,0.916436425085189,0.982216910868456,0.996417992517902,0.999286719792932,0.730578756486007,0.794040309438182,0.845710525248219,0.886274535231394,0.999999976495372,0.999999976495372,0.999999976495372,0.999999976495372,0.659603172565794,0.659603172565794,0.000174381440205442,0.335191696425629
"M00086","Random_slope",0.0747698114471969,0.0424078661271211,-0.0350107053837675,0.016864133103692,0.17743340189042,0.312998947282152,0.490391712250224,0.670237677434426,0.274270424715665,0.366100108150411,0.468814143246987,0.574240360677083,0.0478275265098683,0.0341828029406403,0.0243313128474179,0.0172682607112444,0.492679731723692,0.534783266662291,0.576396885993925,0.616954342010882,0.227798525114874,0.270694868470282,0.564909151608994,0.0493458982761205
"M00087","Random_intercept",-0.0162025623378031,-0.0580792009974743,0.025750068589452,0.00432263369009327,0.165623233199108,0.144427256656349,0.125535756356635,0.108801079655953,0.0215792065490404,0.012188468099901,0.00685571281623276,0.00384708262760207,0.0342723415249597,0.0438960407860719,0.0560651979088147,0.0713561904665899,0.304718154654097,0.313952817410626,0.32333719374141,0.332865977670416,0.10373449254004,0.156546261288862,0.116233010300993,0.19039962956515
"M00089","Random_intercept",0.003661733044081,-0.000782049161533634,0.0146472785784592,0.0081954529169237,0.346337192745843,0.354672878702778,0.363097745831342,0.37160749663192,0.281068811142774,0.279491240247959,0.277919100959433,0.276352413101013,0.356807415211161,0.391079888837105,0.426461631632364,0.462612504068313,0.360034775471457,0.379126206064891,0.398599450620934,0.418398877731523,0.0169477565424335,0.0169477602009827,0.00011906445598091,0.517149601455823
"M00093","Random_intercept",0.0314699788123006,0.0610047500291183,0.0250451370314244,0.0790890800412068,0.174164983720706,0.224141572054184,0.283535288113699,0.351536398133054,0.624090991035459,0.75343118434081,0.849033932566207,0.911902712099003,0.327274315996366,0.384595517553965,0.44531062547893,0.507703183506019,0.666523580423104,0.815084701525975,0.906724820251102,0.955433204248775,0.2118834376576,0.218848623666109,1.7089545199716e-14,0.00680613502908399
"M00095","Random_slope",-0.00873157667660732,0.0142945656840412,0.0352008768342811,0.00474999909070226,0.129948886386671,0.120391653897709,0.111447282434732,0.103089543187025,0.0923011159876049,0.104995541834586,0.119206580879307,0.135050832438302,0.07364544925026,0.101562212190753,0.138479427754588,0.186037142854092,0.0931973830553544,0.097289997364489,0.10154220748969,0.105958452381605,0.00876972135226747,0.0450602878957407,0.0107943144134584,0.0224901617328752
"M00096","Random_slope",0.0423496894541784,0.0538102552787589,0.0364785620381758,0.0418864368230869,0.392008671971685,0.496155135215255,0.600636316669087,0.696696099104122,0.534994213521969,0.663361097605452,0.771431368430099,0.852521212517241,0.506665795795159,0.596631800751086,0.680535972211759,0.754178168057903,0.410793374810408,0.514540346489147,0.617049180609421,0.710107566647047,0.0337878863898684,0.0607035978085525,0.00133802818845144,0.234180762641439
"M00098","Random_intercept",0.0760822851252048,-0.161699938401962,0.016686444234254,-0.00840954373974263,0.0499312218341452,0.101099694094862,0.193997404536441,0.33997192504293,3.0659393003546e-09,6.08568744655001e-10,1.20796884725891e-10,2.39773854341592e-11,0.106865018669241,0.123867297884759,0.143141111593382,0.164849657591949,0.0855436410620248,0.079190377275065,0.0732711584130843,0.0677618225477304,0.871906945452075,0.87698716719437,0.0130166351933874,0.237116960292116
"M00112","No_random",-7.22662864628887e-08,2.7052925413625e-12,0.0179692308881224,-1.43256282963008e-12,5.26209595770016e-10,5.2620921549802e-10,5.26208835226298e-10,5.26208454954852e-10,5.26208860064209e-10,5.26208860078445e-10,5.26208860092679e-10,5.26208860106915e-10,0.0162418069167607,0.0193770391604277,0.023103266860949,0.0275259389088077,5.26208860115761e-10,5.26208860108222e-10,5.26208860100684e-10,5.26208860093146e-10,0.507260580430492,0.507260580430492,0.14898004527853,0.99999999999777
"M00114","Random_intercept",0.031279253805106,0.0119117432344162,0.0105874933367114,-0.00281903319653348,0.112366750617161,0.147543638655416,0.191358740407651,0.244454103271344,0.224943268540791,0.246387916797814,0.269166968797702,0.293232551160654,0.140832834977571,0.154137082950245,0.168451742287461,0.18380691971866,0.238446754690997,0.233365477277703,0.22836001200371,0.223430619075068,0.0102602369280172,0.0111213966388744,0.000942719439753652,0.316332352031805
"M00115","Random_slope",0.0329165351736211,0.0724626690895527,0.0495423723589122,0.0307956560517368,0.327077230123466,0.403171229816097,0.484229347002397,0.566125830276272,0.574059427871589,0.735568178900174,0.85166076070013,0.922177932978024,0.272136327958372,0.380273647073205,0.501759199405912,0.623037395172192,0.227303091628818,0.285845885694397,0.352586452331097,0.425622789078534,0.150146875754499,0.168533027763266,3.8296672807204e-07,0.0468298101153957
"M00116","Random_intercept",0.010821201726097,0.0393498090385207,0.0943586998304118,0.0489284627332555,0.229249788372086,0.248927567226138,0.269703360117731,0.291540058046049,0.415348502646894,0.512897159728538,0.609473151139134,0.698169490996679,0.00480503732061533,0.0122526240240765,0.0308853831335794,0.0756822071213396,0.193259294205531,0.280963995211739,0.389265601267904,0.509719863384468,0.295157000819978,0.35989746561248,3.52877113107619e-18,5.06576537978986e-05
"M00117","Random_slope",0.0149212923173614,0.0308006259096934,0.0278943442169578,0.0288495149463059,0.0221091780925814,0.0255759957499883,0.0295699878209431,0.0341658198160275,0.0840277117985827,0.110973737225269,0.145191122745875,0.187731120755087,0.0072486788040849,0.00955852321327687,0.0125950781209644,0.0165801383764786,0.182416761552195,0.229424506713446,0.284333088921423,0.346474279927259,0.149490094408497,0.210839071756388,0.01676988705495,0.942575535857112
